bathroom,1700000001,25.3
bathroom,1700000002,25.1
bathroom,1700000003,24.3
bathroom,1700000004,26.1
bathroom,1700000005,-10.4
bathroom,1700000006,25.3
bathroom,1700000007,24.8
closet,1700000010,25.6
closet,1700000011,23.1
closet,1700000012,22.3
closet,1700000013,10.4
closet,1700000014,10.7
closet,1700000015,10.8
closet,1700000016,9.8
closet,1700000017,11.3
gameroom,1700000020,30.1
gameroom,1700000021,20.5
gameroom,1700000022,-5.1
gameroom,1700000023,-2.4
gameroom,1700000024,-10.1
gameroom,1700000025,-5.0
gameroom,1700000026,-20.1
gameroom,1700000027,-9.1
gameroom,1700000028,10.4
gameroom,1700000029,26.5
kitchen,1700000030,25.0
kitchen,1700000031,24.5
kitchen,1700000032,-10.4
kitchen,1700000033,30.4
kitchen,1700000034,28.7
kitchen,1700000035,29.3
kitchen,1700000036,26.7
kitchen,1700000037,28.1
breakroom,1700000040,20.4
breakroom,1700000041,18.3
breakroom,1700000042,19.4
breakroom,1700000043,25.9
breakroom,1700000044,-10.5
garage,1700000050,20.4
garage,1700000051,18.3
garage,1700000052,-10.0
garage,1700000053,-1.2
garage,1700000054,-10.5
garage,1700000055,-3.1
garage,1700000056,-10.5
garage,1700000057,25.9
garage,1700000058,-10.5
